Record Id,Product Owner.id,Product Owner,Product Name,Product Code,Vendor Name.id,Vendor Name,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Unit Price,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Handler,Quantity in Demand,Description,Tag,Product Type,Locked,Max Level,Brand,Purchase Price,Sub Category,Stock Type,Last Activity Time,Connected To.module,Connected To.id
zcrm_5586105000000453198,zcrm_5586105000000435019,Olivia Hwa,SUMMER 400CX Solar Hot Water Complete System,,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,Solar Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001696001,Yati Omar,2022-12-28 14:08:54,2025-12-15 08:43:12,0,Each,0,-70,0,,,52,"Direct Heating (Matt Black Polyester) Model 400CX (400 litres) 88 gallons together with a standard 3kW back up heating element, necessary fitting, valves and Isolation Barrier.",,goods,false,,SUMMER,0,,,2025-12-15 08:43:12,,
zcrm_5586105000000453370,zcrm_5586105000000435019,Olivia Hwa,DUPLICATE ITEM CODE SUMMER 300CX Solar Hot Water Complete System,SOL-017,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,false,Water-Care Industries,Solar Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-28 15:09:04,2026-01-14 11:55:58,5570,Each,0,-2359,0,,,1129,"SUMMER 300 litre CX SOLAR WATER HEATER
 SUMMER Standard Solar Collector
 SUMMER CX System Kit
 SUMMER CX Standard Install Kit",,goods,false,0,SUMMER,0,,,2025-12-27 16:00:27,,
zcrm_5586105000000473361,zcrm_5586105000000435019,Olivia Hwa,SUMMER 300CX (JIS),T-517,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,Solar Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000000435019,Olivia Hwa,2022-12-29 10:25:28,2026-01-12 15:52:47,0,Each,0,-618,0,,,245,"Direct Heating (Matt Black Polyester) Model 300CX (300 litres) 66 gallons together with a standard 3kW back up heating element, necessary fitting, valves and Isolation Barrier (JIS Standard)",,goods,false,,SUMMER,0,,,2026-01-12 15:52:47,,
zcrm_5586105000000473459,zcrm_5586105000000435019,Olivia Hwa,Meru MP68 HCM Wrapped CEV,COMP-006578,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,Centralized Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 10:53:45,2025-11-10 16:28:43,1500,Each,0,0,0,,,0,"(68 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,0,,0,,,2025-11-10 16:28:43,,
zcrm_5586105000000473469,zcrm_5586105000000435019,Olivia Hwa,MERU MP90,,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,false,Water-Care Industries,Centralized Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 10:56:23,2025-12-27 16:03:52,0,Each,0,0,0,,,0,"(90 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,,MERU,0,,,2025-12-27 16:03:52,,
zcrm_5586105000000473669,zcrm_5586105000000435019,Olivia Hwa,Meru MP34 HCM Wrapped CEV,COMP-006288,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,POU Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 11:37:56,2025-11-10 16:26:49,0,Each,0,-19,0,,,0,"(34 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,0,MERU,347.17,,,2025-11-10 16:26:49,,
zcrm_5586105000000473679,zcrm_5586105000000435019,Olivia Hwa,Meru MP45 HCM Wrapped CEV,COMP-006418,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,POU Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 11:41:50,2025-11-10 16:26:49,0,Each,0,-13,0,,,0,"(45 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,0,MERU,363.58,,,2025-11-10 16:26:49,,
zcrm_5586105000000473689,zcrm_5586105000000435019,Olivia Hwa,Meru MP115 HCM - Wrapped CEV,COMP-D-000103,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,Centralized Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 11:42:48,2025-11-10 16:26:49,1790,Each,0,-13,0,,,0,"(115 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,0,MERU,0,,,2025-11-10 16:26:49,,
zcrm_5586105000000473835,zcrm_5586105000000435019,Olivia Hwa,Duplicate Item Code Summer 450CX Solar Hot Water Complete System,SOL-012,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,false,Water-Care Industries,Solar Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 12:35:06,2025-12-27 16:03:21,8925,Each,0,-26,0,,,6,"SUMMER 450 litre CX SOLAR WATER HEATER
 SUMMER Standard Solar Collector
 SUMMER CX System Kit
 SUMMER CX Standard Install Kit",,goods,false,0,SUMMER,0,,,2025-12-27 16:03:21,,
zcrm_5586105000000473904,zcrm_5586105000000435019,Olivia Hwa,Meru MP55 HCM Wrapped CEV,COMP-006474,zcrm_5586105000003668003,WATER CARE INDUSTRIES SDN BHD,true,Water-Care Industries,POU Heater,,,,,zcrm_5586105000000435019,Olivia Hwa,zcrm_5586105000001430001,SSS Admin,2022-12-29 15:30:13,2025-12-27 16:00:27,0,Each,0,0,0,,,0,"(55 Litres Capacity) Electric Storage Heater come together with a standard 3kW, 1ph/240v/50Hz heating element, Cold Expansion Valve and Isolation Barrier",,goods,false,0,MERU,374.31,,,2025-12-27 16:00:27,,
