Composite Item ID,Composite Item Name,Selling Price,Sales Description,Product Type,Unit,SKU,Alias Name,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Description,Reorder Point,Opening Stock,Opening Stock Value,Status,Sales Account,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Purchase Account,Inventory Account,Inventory Valuation Method,Preferred Vendor,Source,Reference ID,Last Sync Time,Mapped Item Name,Mapped Item SKU,Mapped Quantity,Combo Type,CF.Product Category,CF.Sub Category,CF.Max Level,CF.Stock Type,CF.Purchase Lead Time,CF.Ordering Quantity
4602503000005199147,D-PV Install Kit Klip-Lok 406 Portrait 1/R,MYR 435.00,,goods,Each,D-IKPVKL406P-1,,,,,,MYR 106.69,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,Rail SLR-R02-Light 5200MM,SLR-R02-LIGHT,1.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199147,D-PV Install Kit Klip-Lok 406 Portrait 1/R,MYR 435.00,,goods,Each,D-IKPVKL406P-1,,,,,,MYR 106.69,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,END CLAMP 30MM SLR-EC-30-D ( AL6005-T5 / SUS 304 ),SLR-EC-30-D,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199147,D-PV Install Kit Klip-Lok 406 Portrait 1/R,MYR 435.00,,goods,Each,D-IKPVKL406P-1,,,,,,MYR 106.69,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,KLIP-LOK 406 Roof Hook,KS-HK-S08-02,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199147,D-PV Install Kit Klip-Lok 406 Portrait 1/R,MYR 435.00,,goods,Each,D-IKPVKL406P-1,,,,,,MYR 106.69,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,L Feet 21# with Bolt M8 x 25 and Nut,KS-HK-L21-02,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199147,D-PV Install Kit Klip-Lok 406 Portrait 1/R,MYR 435.00,,goods,Each,D-IKPVKL406P-1,,,,,,MYR 106.69,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,"GROUNDING LUG, HIGH BALLAST",EK-D,2.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,Rail SLR-R02-Light 5200MM,SLR-R02-LIGHT,1.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,MID CLAMP 30MM SLR-MC-30-D ( AL6005-T5 / SUS 304 ),SLR-MC-30-D,2.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,END CLAMP 30MM SLR-EC-30-D ( AL6005-T5 / SUS 304 ),SLR-EC-30-D,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,KLIP-LOK 406 Roof Hook,KS-HK-S08-02,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,L Feet 21# with Bolt M8 x 25 and Nut,KS-HK-L21-02,4.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,GROUNDING CLIP,KS-BR1-GC,2.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199166,D-PV Install Kit Klip-Lok 406 Portrait 2/R,MYR 870.00,,goods,Each,D-IKPVKL406P-2,,,,,,MYR 110.73,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,"GROUNDING LUG, HIGH BALLAST",EK-D,2.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
4602503000005199193,D-PV Install Kit Klip-Lok 406 Portrait 3/R,MYR 1305.00,,goods,Each,D-IKPVKL406P-3,,,,,,MYR 205.97,,,0.00,MYR 0.00,Active,Sales,,,0.00,0.00,0.00,0.00,,,,,,,Cost of Goods Sold,Finished Goods,fifo,,1,,,Rail SLR-R02-Light 5200MM,SLR-R02-LIGHT,2.000000,Assembly,Solar PV,INSTALLATION KIT,,,,
