Record name,Module Record ID,Record ID,Created Time,Last Modified Time,CF.Items,CF.Purchased Date,CF.Purchased Quantity,CF.Purchased Supplier,CF.Stock on Hand,CF.Purchased Price (if known)
RFQ-4,4602503000021340001,4602503000021340005,2025-12-30 09:07:27,2025-12-30 09:07:27,1,2025-12-24,5,WCI,0,
RFQ-3,4602503000021322670,4602503000021340519,2025-12-30 09:50:05,2025-12-30 09:50:05,1,2025-12-19,200,Winstar,15 pcs,
RFQ-3,4602503000021322670,4602503000021340521,2025-12-30 09:50:05,2025-12-30 09:50:05,2,2025-12-05,300,Winstar,72 pcs,
RFQ-3,4602503000021322670,4602503000021340523,2025-12-30 09:50:05,2025-12-30 09:50:05,3,2025-12-05,1000,Winstar,294 pcs,
RFQ-3,4602503000021322670,4602503000021340525,2025-12-30 09:50:05,2025-12-30 09:50:05,4,2025-11-24,600,Winstar,103 pcs,
RFQ-9,4602503000021552615,4602503000021552621,2026-01-06 08:58:26,2026-01-06 08:58:26,1,2025-12-23,100,Joo Ming Electrical,0,0
RFQ-9,4602503000021552615,4602503000021552623,2026-01-06 08:58:26,2026-01-06 08:58:26,2,2025-12-23,50,Joo Ming Electrical,0,0
RFQ-14,4602503000021613030,4602503000021613034,2026-01-07 10:02:58,2026-01-07 10:02:58,1,2025-12-10,500,Winstar,0,0
RFQ-16,4602503000021613533,4602503000021613537,2026-01-07 16:00:26,2026-01-07 16:00:26,1,2024-12-30,500,Syarikat Emerald,1,
RFQ-23,4602503000021647465,4602503000021647558,2026-01-09 11:19:48,2026-01-09 11:19:48,1,2025-12-22,2000,Helukable Cable ,300,0
RFQ-27,4602503000021736021,4602503000021736027,2026-01-12 09:34:58,2026-01-12 09:34:58,1,2026-01-06,5,Joo Ming Electrical,2,
RFQ-27,4602503000021736021,4602503000021736029,2026-01-12 09:34:58,2026-01-12 09:34:58,2,2026-01-06,5,Joo Ming Electrical ,1.5,
RFQ-34,4602503000021781749,4602503000021759912,2026-01-13 12:46:42,2026-01-13 12:46:42,7,2025-08-28,500,Winstar,230 pcs,
RFQ-34,4602503000021781749,4602503000021759916,2026-01-13 12:46:42,2026-01-13 12:46:42,9,2025-07-15,700,Winstar,200 pcs,
RFQ-34,4602503000021781749,4602503000021759914,2026-01-13 12:46:42,2026-01-13 12:46:42,8,2026-01-09,500,Winstar,456 pcs,
RFQ-34,4602503000021781749,4602503000021759910,2026-01-13 12:46:42,2026-01-13 12:46:42,6,2025-12-19,500,Winstar,170 pcs,
RFQ-34,4602503000021781749,4602503000021759906,2026-01-13 12:46:42,2026-01-13 12:46:42,4,2026-01-02,500,Winstar,650 pcs,
RFQ-34,4602503000021781749,4602503000021759900,2026-01-13 12:46:42,2026-01-13 12:46:42,1,2026-01-02,150,Winstar,44 pcs,
RFQ-34,4602503000021781749,4602503000021759904,2026-01-13 12:46:42,2026-01-13 12:46:42,3,2026-01-02,1000,Winstar,1000 pcs,
RFQ-34,4602503000021781749,4602503000021759902,2026-01-13 12:46:42,2026-01-13 12:46:42,2,2026-01-02,300,Winstar,230 pcs,
RFQ-34,4602503000021781749,4602503000021759908,2026-01-13 12:46:42,2026-01-13 12:46:42,5,2025-04-24,200,Winstar,0 pc,
RFQ-38,4602503000021802714,4602503000021802718,2026-01-14 10:09:24,2026-01-14 10:09:24,1,2025-12-24,5,WCI,0,
RFQ-42,4602503000021838590,4602503000021838594,2026-01-14 14:51:57,2026-01-14 14:51:57,1,2025-09-26,200 (Black),Chojin,40,
RFQ-44,4602503000021839560,4602503000021839649,2026-01-15 11:47:54,2026-01-15 11:47:54,1,2025-12-17,30,Commando Plastic,13,
RFQ-56,4602503000021992138,4602503000021992152,2026-01-19 11:13:02,2026-01-19 11:13:02,3,2026-01-06,100,SB Four,48,0
RFQ-56,4602503000021992138,4602503000021992154,2026-01-19 11:13:02,2026-01-19 11:13:02,4,2025-08-05,220,Winstar,40 (Set Male & Female),0
RFQ-56,4602503000021992138,4602503000021992150,2026-01-19 11:13:02,2026-01-19 11:13:02,2,2025-12-19,200,Advance Bolts,45,0
RFQ-56,4602503000021992138,4602503000021992148,2026-01-19 11:13:02,2026-01-19 11:13:02,1,2025-04-04,600,SB Four,31,0
RFQ-45,4602503000021839583,4602503000021997682,2026-01-19 16:29:25,2026-01-19 16:29:25,1,2026-01-12,10,Joo Ming Electrical,6,
RFQ-45,4602503000021839583,4602503000021997684,2026-01-19 16:29:25,2026-01-19 16:29:25,2,2026-01-12,10,Joo Ming Electrical ,6,
RFQ-45,4602503000021839583,4602503000021997686,2026-01-19 16:29:25,2026-01-19 16:29:25,3,2025-06-25,10,Emerald,4,
RFQ-45,4602503000021839583,4602503000021997688,2026-01-19 16:29:25,2026-01-19 16:29:25,4,2025-12-15,50,Xian Yik,4,
RFQ-45,4602503000021839583,4602503000021997690,2026-01-19 16:29:25,2026-01-19 16:29:25,5,2026-01-06,300,SB Four,100,
RFQ-45,4602503000021839583,4602503000021997692,2026-01-19 16:29:25,2026-01-19 16:29:25,6,2025-12-19,100,Joo Ming Electrical ,65,
RFQ-60,4602503000022027080,4602503000022027129,2026-01-20 10:36:51,2026-01-20 10:36:51,1,2025-06-19,60,FEEO,97,
RFQ-60,4602503000022027080,4602503000022027137,2026-01-20 10:36:51,2026-01-20 10:36:51,5,2024-12-27,250,FEEO,150,
RFQ-60,4602503000022027080,4602503000022027135,2026-01-20 10:36:51,2026-01-20 10:36:51,4,2025-06-19,4000,FEEO,40,
RFQ-60,4602503000022027080,4602503000022027131,2026-01-20 10:36:51,2026-01-20 10:36:51,2,2025-06-19,50,FEEO,192,
RFQ-60,4602503000022027080,4602503000022027133,2026-01-20 10:36:51,2026-01-20 10:36:51,3,2025-06-19,100,FEEO,218,
RFQ-65,4602503000022027210,4602503000022027216,2026-01-20 15:05:34,2026-01-20 15:05:34,1,2025-12-05,1,JK SEMAJU,0,900
