Purchase Order ID,Purchase Order Date,Location ID,Location Name,Delivery Date,Purchase Order Number,Reference#,Purchase Order Status,Vendor Name,Is Inclusive Tax,TotalQuantityOrdered,BalanceQuantityBilled,Currency Code,Exchange Rate,Template Name,Reference No,Delivery Instructions,Terms & Conditions,Shipment preference,Expected Arrival Date,Account,Item Price,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Item Desc,QuantityOrdered,QuantityCancelled,QuantityReceived,QuantityBilled,Usage unit,Line Item Location Name,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Total,Total,Adjustment,Adjustment Description,Discount Type,Is Discount Before Tax,Entity Discount Percent,Entity Discount Amount,Discount,Discount Amount,Discount Account,Payment Terms,Payment Terms Label,Attention,Address,City,State,Country,Code,Phone,Deliver To Customer,Recipient Address,Recipient City,Recipient State,Recipient Country,Recipient Postal Code,Recipient Phone,Submitted By,Approved By,Submitted Date,Approved Date,CF.Reason for Purchase,CF.Reason For Reject,CF.Requestor,CF.Purchase Trigger Close
4602503000001754201,2024-09-20,4602503000009244225,Head Office,2024-09-27,PO-007,QT24-090354,Billed,Sanifix (M) Sdn Bhd,false,4.000000,0.000000,MYR,1.000000000000,PO-Standard,QT24-090354,,,,,Cost of Goods Sold,360.81,"EXTENSION LADDER 10F, ALUMINIUM",4602503000000623397,ED10DR,,,,,"folded height 10FT, Extended height 15FT, 15 step",2.00,0.00,2.00,2.00,Each,Head Office,,,,,,721.62,2353.62,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,60,Net 60,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,Ladder for installation use,,,
4602503000001754201,2024-09-20,4602503000009244225,Head Office,2024-09-27,PO-007,QT24-090354,Billed,Sanifix (M) Sdn Bhd,false,4.000000,0.000000,MYR,1.000000000000,PO-Standard,QT24-090354,,,,,Cost of Goods Sold,816.00,"EXTENSION LADDER 17F, ALUMINIUM",4602503000000622880,ED18DR,,,,,"folded height 17FT, Extended height 29FT, 29 step",2.00,0.00,2.00,2.00,Each,Head Office,,,,,,1632.00,2353.62,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,60,Net 60,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,Ladder for installation use,,,
4602503000002380029,2024-10-07,4602503000009244225,Head Office,2024-10-11,PO-008,,Billed,Sanifix (M) Sdn Bhd,false,4.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Cost of Goods Sold,328.71,EXTENSION LADDER 8F HEAVY DUTY,4602503000002297071,ED08DR,,,,,"folded height 8FT, Extended height 12FT",2.00,0.00,2.00,2.00,Each,Head Office,,,,,,657.42,1886.72,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,60,Net 60,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,for installation use,,,
4602503000002380029,2024-10-07,4602503000009244225,Head Office,2024-10-11,PO-008,,Billed,Sanifix (M) Sdn Bhd,false,4.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Cost of Goods Sold,614.65,EXTENSION LADDER 25F HEAVY DUTY,4602503000002297062,ED15DR,,,,,"folded height 15FT, Extended height 24FT",2.00,0.00,2.00,2.00,Each,Head Office,,,,,,1229.30,1886.72,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,60,Net 60,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,for installation use,,,
4602503000002716019,2024-10-16,4602503000009244225,Head Office,2024-10-18,PO-009,,Billed,Sanifix (M) Sdn Bhd,false,2000.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Inventory Asset,0.80,PTFE TEFLON TAPE,4602503000000622770,T-415,,,,,Size: 13mm x 0.1mm x 15m ,2000.00,0.00,2000.00,2000.00,Each,Head Office,,,,,,1600.00,1600.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,60,Net 60,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,For installation use,,,
4602503000002716034,2024-10-16,4602503000009244225,Head Office,2024-10-17,PO-010,QUO: QT-001294,Billed,SB Four Elektrik & Hardware Sdn Bhd,false,3.000000,0.000000,MYR,1.000000000000,PO-Standard,QUO: QT-001294,,,,,Inventory Asset,125.00,"PIPE - PVC, WHITE 6"" X 3.8MM",4602503000002704013,T-474,,,,,"Length: 5.8mtr
Colour: White 
Sirim Approved",3.00,0.00,3.00,3.00,Each,Head Office,,,,,,375.00,375.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,30,Net 30,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,Installation use,,,
4602503000002716053,2024-10-16,4602503000009244225,Head Office,2024-10-18,PO-011,,Billed,SB Four Elektrik & Hardware Sdn Bhd,false,110.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Inventory Asset,420.00,"CABLE WIRE ROLL Â GREY, 3 CORE, 2.5MM2",4602503000000622383,SMFG-000088,,,,,"Length:90mtr
Brand: Fajar(Sirim Approved)",10.00,0.00,10.00,10.00,Each,Head Office,,,,,,4200.00,4835.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,30,Net 30,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,For installation use,,,
4602503000002716053,2024-10-16,4602503000009244225,Head Office,2024-10-18,PO-011,,Billed,SB Four Elektrik & Hardware Sdn Bhd,false,110.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Inventory Asset,6.35,"ARMOURED CABLE - COPPER, 3 CORE, 2.5MM2",4602503000002704026,T-475,,,,,X 3C PVC/SWA/PVC CABLE 100mtr,100.00,0.00,100.00,100.00,M,Head Office,,,,,,635.00,4835.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,30,Net 30,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,For installation use,,,
4602503000002753019,2024-10-17,4602503000009244225,Head Office,2024-10-17,PO-012,DO-008832,Billed,SB Four Elektrik & Hardware Sdn Bhd,false,30.000000,0.000000,MYR,1.000000000000,PO-Standard,DO-008832,"Note: Item already delivered , refer to DO: 008832",,,,Inventory Asset,7.00,"2"" x 2"" PVC CASING x 6 FT",4602503000002764011,T-478,,,,,,30.00,0.00,30.00,30.00,pcs,Head Office,,,,,,210.00,210.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,30,Net 30,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,Installation use,,,
4602503000002817031,2024-10-18,4602503000009244225,Head Office,2024-10-19,PO-013,,Billed,SL Chen Hardware Sdn Bhd,false,2.000000,0.000000,MYR,1.000000000000,PO-Standard,,,,,,Inventory Asset,60.00,Sika Anchor Fix Waterproof Sealant,4602503000000449275,8193A,,,,,,2.00,0.00,2.00,2.00,Each,Head Office,,,,,,120.00,120.00,0.00,Adjustment,entity_level,true,0.00,0.000,0.00,0.0,,30,Net 30,Solartech Admin,"5, Jalan Teknologi 3/5, Kota Damansara",Petaling Jaya,Selangor,Malaysia,47810 ,0361574888,,,,,,,,,,,,Request by owner contractor,,,
