Purchase Receive ID,Receive Number,Receive Date,Status,Vendor Name,PO Number,Bill Number,Item Name,SKU,Item Description,Item unit,Quantity Received,Line Item Location Name,Notes,CreatedTime,Last Modified Time,CF.Checked by,CF.PR Reference#
4602503000003112015,PR-00006,2024-10-23,received,SB Four Elektrik & Hardware Sdn Bhd,PO-010,1939,"PIPE - PVC, WHITE 6"" X 3.8MM",T-474,"Length: 5.8mtr
Colour: White 
Sirim Approved",Each,3.000000,Head Office,,2024-10-23 16:47:11,2024-10-23 16:47:11,Wei Xiang Wong,DO-008963
4602503000003247039,PR-00007,2024-10-25,received,SL Chen Hardware Sdn Bhd,PO-013,013,Sika Anchor Fix Waterproof Sealant,8193A,,Each,2.000000,Head Office,,2024-10-25 19:18:25,2024-10-25 19:18:25,Wei Xiang Wong,Tax inv 24-197021
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,RAIL SLR-R11 6000MM,R11-6000,(AL6005-T5),pcs,12.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,RAIL SPLICE SLR-RS-03 180MM,RS-03-180,(AL6005-T5/SUS304),pcs,9.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,FRONT LEG 10 SLR-COBE-FE-10-D 40MM,COBE-FE-10-40,(AL6005-T5),pcs,50.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,REAR LEG 10 SLR-COBE-RE-10-D 267MM,COBE-RE-10-D-267,(AL6005-T5),pcs,50.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,T NUT WITH BOT SLR COB-BN-01 40MM,COB-BN-01-40,(AL6005-T5/SUS304),PCS,99.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,MIDDLE BALLASTED SLR-BS-MBP-XLM 200MM,SLR-BS-MBP-XLM-200,(Q235),pcs,50.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,SELF TAPPING SCREW 5.5X32,ST5.5X32-01,(Q235),pcs,99.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,GROUNDING LUG SLR-EK-D,EK-D,(AL6005-T5/SUS304),pcs,9.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247060,PR-00008,2024-10-25,received,Winstar Solar Sdn Bhd,PO-015,1940,CABLE CLIP SLR-XJ-AZ SUS304,XJ-AZ,(SUS304),pcs,50.000000,Head Office,,2024-10-25 19:22:19,2024-10-25 19:22:19,Wei Xiang Wong,I-000616
4602503000003247129,PR-00009,2024-10-25,received,SB Four Elektrik & Hardware Sdn Bhd,PO-011,188,"CABLE WIRE ROLL Â GREY, 3 CORE, 2.5MM2",SMFG-000088,"Length:90mtr
Brand: Fajar(Sirim Approved)",Each,10.000000,Head Office,,2024-10-25 19:23:10,2024-10-25 19:23:10,Wei Xiang Wong,I-008930
4602503000003247129,PR-00009,2024-10-25,received,SB Four Elektrik & Hardware Sdn Bhd,PO-011,188,"ARMOURED CABLE - COPPER, 3 CORE, 2.5MM2",T-475,X 3C PVC/SWA/PVC CABLE 100mtr,M,100.000000,Head Office,,2024-10-25 19:23:10,2024-10-25 19:23:10,Wei Xiang Wong,I-008930
4602503000003247156,PR-00010,2024-10-25,received,Yeowchuan Hardware Sdn Bhd,PO-017,187,TUBE BENDER 15MM AND 22MM,T-504,,Each,1.000000,Head Office,,2024-10-25 19:25:49,2024-10-25 19:25:49,Wei Xiang Wong,H24100487
4602503000003247183,PR-00011,2024-10-25,received,SL Chen Hardware Sdn Bhd,PO-021,187,"Plywood thin 3mm, 4800mm x 1200mm",WOOD-01,,pcs,2.000000,Head Office,,2024-10-25 19:26:29,2024-10-25 19:26:29,Wei Xiang Wong,24-197309
4602503000003247204,PR-00012,2024-10-25,received,SL Chen Hardware Sdn Bhd,PO-016,186,CEMENT 1KG,T-502,Packing: 50kg/bag x 1 bag,kg,50.000000,Head Office,,2024-10-25 19:27:06,2024-10-25 19:27:06,Wei Xiang Wong,24-197164
4602503000003247204,PR-00012,2024-10-25,received,SL Chen Hardware Sdn Bhd,PO-016,186,Concrete Sand 1KG,T-448,Packing 40kg/bag x 2 bag,pcs,80.000000,Head Office,,2024-10-25 19:27:06,2024-10-25 19:27:06,Wei Xiang Wong,24-197164
4602503000003247204,PR-00012,2024-10-25,received,SL Chen Hardware Sdn Bhd,PO-016,186,CONCRETE STONE 1KG,T-503,Packing: 40kg/per bag x 2 bag,pcs,80.000000,Head Office,,2024-10-25 19:27:06,2024-10-25 19:27:06,Wei Xiang Wong,24-197164
4602503000004336015,PR-00013,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-053,1917,"Screw #10 x 5/8""",M4.8x16,"#10 x 5/8"" Hex SDS (HO)(Z/P)(M4.8 x 16) ",pcs,1000.000000,Head Office,,2024-11-17 15:43:25,2024-11-17 15:43:25,Wei Xiang Wong,do:2411/0423
4602503000004336015,PR-00013,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-053,1917,"Screw #10 x 3/4""",M4.8x19,"#10 x 3/4"" Hex SDS (HO)(Z/P)(M4.8 x 19) ",pcs,1000.000000,Head Office,,2024-11-17 15:43:25,2024-11-17 15:43:25,Wei Xiang Wong,do:2411/0423
4602503000004336015,PR-00013,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-053,1917,"Screw #10 x 1""",T17-ET,"#10 x 1"" TS Screw (HW) (Type 17) (ET Coating) ",Each,1000.000000,Head Office,,2024-11-17 15:43:25,2024-11-17 15:43:25,Wei Xiang Wong,do:2411/0423
4602503000004336015,PR-00013,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-053,1917,Screw With Wall Plug 6mm x 2inch,6x2SWWP,Screw With Wall Plug 6mm x 2inch,Each,200.000000,Head Office,,2024-11-17 15:43:25,2024-11-17 15:43:25,Wei Xiang Wong,do:2411/0423
4602503000004336015,PR-00013,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-053,1917,Washer #10 S/S304 Bonded,10-SS304,Washer #10 S/S304 Bonded,Each,1000.000000,Head Office,,2024-11-17 15:43:25,2024-11-17 15:43:25,Wei Xiang Wong,do:2411/0423
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,HOYMILES HMS 1800 4T MICRO INVERTER,HMS-1800-4T,Hoymiles 1800W 1 phase microinverter with 4 MPPT,null,3.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,HOYMILES Monitoring System (WIFI),DTU-PRO-S,,Each,3.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,"Hoymiles AC Trunk Cable, 4.2 Meter",AC-TC-4M,,Each,3.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,HOYMILES AC TRUCK END CAP,AC-TEC,,Each,3.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,"Trunk Port Disconnector Tools, Hoymiles",AC-TPD,,Each,1.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336060,PR-00014,2024-10-28,received,Penta Eletrical Solutions Sdn Bhd,PO-020,189,"Trunk Connector Unlock Tools, Hoymiles",AC-TCU,,Each,1.000000,Head Office,,2024-11-17 15:44:57,2024-11-17 15:44:57,Wei Xiang Wong,Pi-00637
4602503000004336111,PR-00015,2024-11-08,received,Helukabel Malaysia Sdn Bhd,PO-068,190,DC CABLE - Fireproof 1C x 4mm^2(1000 meters/Drum) Black with Red Stripe,TC-460,Helukabel Solarflex-X HIZ2Z2-K 1 x 4 MM2 Pv Wire EN50618 IE62930 (Black with Red Stripe),M,2000.000000,Head Office,,2024-11-17 15:46:07,2024-11-17 15:46:07,Wei Xiang Wong,HM-DO-24110208
4602503000004336132,PR-00016,2024-11-15,received,Standard Bolts & Nuts (Sg Buloh) Sdn Bhd,PO-097,1917,Screw With Wall Plug 6mm x 2inch,6x2SWWP,Screw With Wall Plug 6mm x 2inch,Each,200.000000,Head Office,,2024-11-17 15:49:09,2024-11-17 15:49:09,Wei Xiang Wong,DO-2411/0452
