Record ID,Deal Name,Amount (RM),Deal Owner,Stage,Probability (%),Risk Score,Risk Level,Days Since Activity,Sales Cycle (days),Account Name
zcrm_5586105000059170560,PD-2160,55581.5,Ahmad Shafiq Affandi Muhamad,Solution Design,20,75,HIGH,92,,H-ACC-02608
zcrm_5586105000000556439,PD-000127,1592100.0,Olivia Hwa,Solution Design,20,73,HIGH,32,347.0,C-ACC-01527
zcrm_5586105000060783462,T-2236,71627.5,Sa Lee Cham,Solution Design,20,65,HIGH,120,,P-ACC-02274
zcrm_5586105000054375256,BC-1967,94000.0,Ahmad Shafiq Affandi Muhamad,Idle,5,60,HIGH,6,,H-ACC-02221
zcrm_5586105000073415150,PD-2678,96800.0,Ahmad Shafiq Affandi Muhamad,Idle,5,60,HIGH,4,,H-ACC-02825
zcrm_5586105000070982281,BC-2612,84700.0,Ahmad Shafiq Affandi Muhamad,Idle,5,60,HIGH,6,,C-ACC-02488
zcrm_5586105000063901096,BC-2382,92000.0,Ahmad Shafiq Affandi Muhamad,Idle,5,60,HIGH,15,,H-ACC-02608
zcrm_5586105000077337123,BC-2764,101624.0,Ahmad Shafiq Affandi Muhamad,Idle,5,60,HIGH,4,,H-ACC-02883
zcrm_5586105000062360137,PD-2321,1372224.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-02569
zcrm_5586105000062936079,PD-2333,637130.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-01452
zcrm_5586105000062936445,PD-2334,326400.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-01230
zcrm_5586105000060222388,PD-2202,539860.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-01020
zcrm_5586105000068417311,PD-2560,756800.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-02774
zcrm_5586105000068972131,PD-2574,140000.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-02769
zcrm_5586105000069779630,PD-2584,415000.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-02779
zcrm_5586105000059930113,PD-2191,350000.0,Olivia Hwa,Tender,20,58,HIGH,48,,C-ACC-00007
zcrm_5586105000071028411,BC-2615,58500.0,Bryan Lim,Idle,5,57,HIGH,-1,,H-ACC-02798
zcrm_5586105000075736217,BC-2728,62800.0,Bryan Lim,Idle,5,57,HIGH,-1,,H-ACC-02860
zcrm_5586105000063114105,PD-2341,323700.0,Wan Jin Goh,Tender,20,55,HIGH,48,,C-ACC-02583
zcrm_5586105000065109437,T-2411,66867.0,Sa Lee Cham,Solution Design,20,55,HIGH,85,,P-ACC-02274
zcrm_5586105000066917352,T-2510,132579.9,Sa Lee Cham,Solution Design,20,55,HIGH,76,,P-ACC-02274
zcrm_5586105000059021095,BC-2147,75600.0,Yati Omar,Solution Design,20,55,HIGH,83,,H-ACC-02306
zcrm_5586105000063462304,T-2360,75600.0,Yati Omar,Solution Design,20,55,HIGH,90,0.0,P-ACC-02602
zcrm_5586105000061281208,PD-2279,445900.0,Olivia Hwa,Tender,20,53,HIGH,5,,C-ACC-02539
