Item Name,SKU,Status,Opening Stock,Reorder Level
"WILO CIRCULATING PUMP - 220V/50HZ, 400W, 1"" X 1""",PURC-000100,Active,0,
"TEMPERING VALVE INSULATED 3/4""",T-0236,Active,22,
"TEMPERING VALVE INSULATED 1/2""",T-0237,Active,14,
THERMOSYPHON ARRESTOR VALVE,T-0238,Active,16,
"SOLAR CONTROLLER - T47MM X W110MM X L172MM, DIFFERENTIAL CONTROLLER SENSOR",PURC-000153,Active,0,
"SOLAR CONSOLE - R586SY002, C/W CIRCULATION PUMP",T-0239,Active,6,
SUMMER 55E VWM - 3KW CARTON CEV,COMP-006527,Active,0,
AVC HEAT PUMP HF30 CUSTOMIZED,COMP-000283,Active,0,
"SUMMER HEATPUMP HF45 - 15HP, 11.23KW/415V, 3PH",COMP-000240,Active,0,
HEATFIRST HF60 BASIC,COMP-000052,Active,0,
KINETICO POU - PREMIER COMPACT WATER SOFTENER,16145,Active,10,
KINETICO POU - PREMIER UF FILTER,100-500-INT,Active,21,
"KINETICO MACH PREFILTER - 10"" NORYL (INDOOR)",11825,Active,28,
"KINETICO MACH PREFILTER - 16"" NORYL (INDOOR)",11826,Active,13,
"KIT,INSTALL FILTER ENCLOSURE",11670A,Active,38,
KINETICO SELECTO SMF IC600,16645,Active,1,
AVENTURA POE FILTER - 840,T-0244,Active,11,
KINETICO SELECTO SMF IC614,16646,Active,9,
AVENTURA POE FILTER - 1044,T-0247,Active,29,
"KINETICO COMMERCIAL POE HYDRUS SOFTENER - HS 121S, OD, MULTIPLEX",H12246,Active,0,
"KINETICO PREMIER SERIES® MACH 4060S OD, MACROLITE®",11223,Active,0,
"BRINE DRUM ASY 24X40, CP213S",10586A,Active,0,
"KINETICO PREMIER SERIES® MACH 2100F OD, MACROLITE®",11146A,Active,5,
"(Inactive) - KINETICO POE FILTER - CP213F, OD, MACROLITE",,Inactive,0,
AVENTURA POE FILTER - 1054,T-0249,Active,20,
KINETICO CP213S OD,11180A,Active,0,
PPR ELBOW 20MM,T-0005,Active,0,
PPR T JOINT 32MM,T-0009,Active,0,
"PPR THREADED MALE SOCKET 32MM/ 1""",T-0011,Active,1,
"SS SOCKET 1”, BSP",PART-000146,Active,14,
SS TEE CONNECTION 1'',T-0017,Active,13,
"SS SOCKET – 1 1/2”, BSP",PART-000145,Active,10,
BALL COCK 28MM,T-0020,Active,0,
BALL COCK 40MM,T-0021,Active,0,
BALL COCK 50MM,T-0022,Active,1,
PVC SOCKET 1 1/4'',T-0025,Active,34,
"PVC TEE 1""",T-0026,Active,94,
"PVC REDUCER TEE 3/4"" X 1""",T-0027,Active,76,
"PVC REDUCER ELBOW 1"" X 1/2""",T-0030,Active,18,
"PVC THREADED MALE SOCKET 1""",T-0031,Active,12,
"PVC REDUCER SOCKET 3/4"" X 1/2""",T-0032,Active,94,
PVC REDUCER SOCKET 32 X 20 MM,T-0033,Active,9,
PVC REDUCER SOCKET 32 X 25 MM,T-0034,Active,54,
PVC REDUCER SOCKET 40 X 25 MM,T-0035,Active,1,
"PVC THREADED MALE SOCKET 3/4""",T-0037,Active,216,
"PVC ELBOW 3/4""",T-0040,Active,33,
"PVC REDUCER ELBOW 3/4"" X 1/2""",T-0041,Active,100,
"PVC END CAP 1""",T-0042,Active,24,
"PVC END CAP 3/4""",T-0044,Active,30,
"PVC TEE 1/2""",T-0045,Active,14,
PVC THREADED FEMALE ELBOW 1'',T-0046,Active,57,
PVC THREADED FEMALE SOCKET 1'',T-0047,Active,15,
"ABS SOCKET 3/4""",T-0048,Active,0,
"SS REDUCING NIPPLE 1"" X 1/2""",T-0049,Active,99,
"SS REDUCER BUSH 1 1/4"" X 1""",T-0050,Active,,
"SS REDUCER SOCKET 1 1/2"" X 1/2""",T-0051,Active,4,
"PVC TEE 1 1/4""",T-0054,Active,40,
"PVC REDUCER TEE 3/4"" X 1/2""",T-0055,Active,156,
